id,content_type_id,codename,name
1,1,add_jobadvertisement,Can add job advertisement
2,1,change_jobadvertisement,Can change job advertisement
3,1,delete_jobadvertisement,Can delete job advertisement
4,1,view_jobadvertisement,Can view job advertisement
5,2,add_jobapplication,Can add job application
6,2,change_jobapplication,Can change job application
7,2,delete_jobapplication,Can delete job application
8,2,view_jobapplication,Can view job application
9,3,add_employee,Can add employee
10,3,change_employee,Can change employee
11,3,delete_employee,Can delete employee
12,3,view_employee,Can view employee
13,4,add_homeaddress,Can add home address
14,4,change_homeaddress,Can change home address
15,4,delete_homeaddress,Can delete home address
16,4,view_homeaddress,Can view home address
17,5,add_supervision,Can add supervision
18,5,change_supervision,Can change supervision
19,5,delete_supervision,Can delete supervision
20,5,view_supervision,Can view supervision
21,6,add_spouse,Can add spouse
22,6,change_spouse,Can change spouse
23,6,delete_spouse,Can delete spouse
24,6,view_spouse,Can view spouse
25,7,add_leave,Can add leave
26,7,change_leave,Can change leave
27,7,delete_leave,Can delete leave
28,7,view_leave,Can view leave
29,8,add_emergencycontact,Can add emergency contact
30,8,change_emergencycontact,Can change emergency contact
31,8,delete_emergencycontact,Can delete emergency contact
32,8,view_emergencycontact,Can view emergency contact
33,9,add_dependant,Can add dependant
34,9,change_dependant,Can change dependant
35,9,delete_dependant,Can delete dependant
36,9,view_dependant,Can view dependant
37,10,add_department,Can add department
38,10,change_department,Can change department
39,10,delete_department,Can delete department
40,10,view_department,Can view department
41,11,add_deduction,Can add deduction
42,11,change_deduction,Can change deduction
43,11,delete_deduction,Can delete deduction
44,11,view_deduction,Can view deduction
45,12,add_certification,Can add certification
46,12,change_certification,Can change certification
47,12,delete_certification,Can delete certification
48,12,view_certification,Can view certification
49,13,add_beneficiary,Can add beneficiary
50,13,change_beneficiary,Can change beneficiary
51,13,delete_beneficiary,Can delete beneficiary
52,13,view_beneficiary,Can view beneficiary
53,14,add_bankdetail,Can add bank detail
54,14,change_bankdetail,Can change bank detail
55,14,delete_bankdetail,Can delete bank detail
56,14,view_bankdetail,Can view bank detail
57,15,add_allowance,Can add allowance
58,15,change_allowance,Can change allowance
59,15,delete_allowance,Can delete allowance
60,15,view_allowance,Can view allowance
61,16,add_payrollrecord,Can add payroll record
