id,app_label,model
1,recruitment,jobadvertisement
2,recruitment,jobapplication
3,employees,employee
4,employees,homeaddress
5,employees,supervision
6,employees,spouse
7,employees,leave
8,employees,emergencycontact
9,employees,dependant
10,employees,department
11,employees,deduction
12,employees,certification
13,employees,beneficiary
14,employees,bankdetail
15,employees,allowance
16,payroll,payrollrecord
17,payroll,payslip
18,leave,holidays
19,leave,leave_types
20,leave,leaveapplication
21,leave,leave_records
22,leave,annual_planner
23,organisation_details,department
24,organisation_details,team
25,organisation_details,position
26,organisation_details,organisationdetail
27,settings,currency
28,overtime,overtimeapplication
29,holidays,holiday
30,ems_auth,user
31,ems_auth,solitonuser
32,ems_admin,audittrail
33,ems_admin,emspermission
34,contracts,contract
35,learning_and_development,resource
36,training,trainingschedule
37,training,training
38,admin,logentry
39,auth,permission
40,auth,group
41,contenttypes,contenttype
42,sessions,session
43,overtime,overtimeplan
44,overtime,overtimeschedule
45,notification,notification
