name,seq
django_migrations,41
django_content_type,45
auth_permission,180
auth_group,0
django_admin_log,3
ems_admin_emspermission,22
ems_admin_audittrail,718
ems_auth_user,5
settings_currency,2
employees_employee,5
ems_auth_solitonuser,5
leave_leave_records,8
organisation_details_position,3
organisation_details_organisationdetail,5
leave_leave_types,5
organisation_details_department,3
overtime_overtimeapplication,1
holidays_holiday,3
overtime_overtimeschedule,0
overtime_overtimeplan,1
employees_dependant,1
organisation_details_team,6
leave_leaveapplication,30
notification_notification,3
payroll_payslip,0
